model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,0,0.6666666666666666,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,1,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,2,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,3,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,4,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,5,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,6,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,7,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,8,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,9,-0.5827829453479102,2.6800204068422318e-05
model_1,0.1,-0.4,0.6,0,5,0.8333333333333334,10,-0.5827829453479102,2.6800204068422318e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,0,0.6666666666666666,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,1,-0.3543156292043315,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,2,-0.4492919913004163,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,3,-0.45767461529615455,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,4,-0.45841060677085405,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,5,-0.4584751965735074,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,6,-0.4584808646724186,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,7,-0.4584813620764818,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,8,-0.45848140572616547,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,9,-0.4584814095566425,5.04995696246624e-05
model_2,0.1,-0.4,0.6,0,5,0.8333333333333334,10,-0.458481409892786,5.04995696246624e-05
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,0,0.6666666666666666,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,1,-0.11863833482372321,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,2,-0.3563238006013008,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,3,-0.4278308522752598,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,4,-0.44929412203652747,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,5,-0.45572932128754734,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,6,-0.45765740811991956,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,7,-0.4582347933527222,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,8,-0.4584076243048634,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,9,-0.4584593401389901,0.0005091000348329544
model_3,0.1,-0.4,0.6,0,5,0.8333333333333334,10,-0.45847481029864473,0.0005091000348329544
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,0,0.6666666666666666,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,1,-0.25341933771549346,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,2,-0.5719364317627643,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,3,-0.6776174214201444,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,4,-0.7122761182247093,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,5,-0.7236020248791059,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,6,-0.7272981627780596,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,7,-0.7285036030044122,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,8,-0.7288965969836004,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,9,-0.7290246906838189,0.2782975002191961
model_4,0.1,-0.4,0.6,0,5,0.8333333333333334,10,-0.7290664357695941,0.2782975002191961
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,0,0.6666666666666666,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,1,-0.5196787671600421,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,2,-0.5198936458622909,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,3,-0.5198936827642153,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,4,-0.5198936827706083,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,5,-0.5198936827706093,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,6,-0.5198936827706093,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,7,-0.5198936827706093,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,8,-0.5198936827706093,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,9,-0.5198936827706093,0.00019059982150793076
model_5,0.1,-0.4,0.6,0,5,0.8333333333333334,10,-0.5198936827706093,0.00019059982150793076
model_1,0.1,-0.4,0.6,1,3,0.5,0,0.0,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,1,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,2,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,3,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,4,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,5,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,6,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,7,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,8,-0.5827829453479102,2.1200161427259445e-05
model_1,0.1,-0.4,0.6,1,3,0.5,9,-0.5827829453479102,2.1200161427259445e-05
