model,coupling,field,temperature,t,mean_m,var_m,n
model_1,0.2,-0.4,0.6,0,0.016666666666666666,0.24138888888888888,30
model_1,0.2,-0.4,0.6,1,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,2,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,3,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,4,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,5,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,6,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,7,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,8,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,9,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,10,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,11,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,12,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,13,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,14,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,15,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,16,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,17,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,18,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,19,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.6,20,-0.5827829453479102,0.0,30
model_1,0.2,-0.4,0.95,0,0.016666666666666666,0.24138888888888888,30
model_1,0.2,-0.4,0.95,1,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,2,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,3,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,4,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,5,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,6,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,7,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,8,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,9,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,10,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,11,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,12,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,13,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,14,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,15,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,16,-0.39781684682203466,0.0,30
model_1,0.2,-0.4,0.95,17,-0.39781684682203466,0.0,30
