source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.1,-0.4,0.6,0.55,-0.4,0.6,0.013116012431064153
0.1,-0.4,1.2999999999999998,0.55,-0.4,1.2999999999999998,0.0008151392473523791
0.1,-0.4,2.0,1.0,-0.4,2.0,0.0001026262566671664
0.1,0.0,0.6,0.1,0.0,2.0,3.2081004763711106e-07
0.1,0.0,1.2999999999999998,0.1,0.0,2.0,3.2081004763711106e-07
0.1,0.0,2.0,0.1,0.0,2.0,3.2081004763711106e-07
0.1,0.4,0.6,0.55,0.4,0.6,0.014315333717487657
0.1,0.4,1.2999999999999998,0.55,0.4,1.2999999999999998,0.0012610593265861727
0.1,0.4,2.0,0.1,0.4,1.2999999999999998,0.00021254020055778945
0.55,-0.4,0.6,0.55,-0.4,0.6,0.013116012431064153
0.55,-0.4,1.2999999999999998,0.55,-0.4,1.2999999999999998,0.0008151392473523791
0.55,-0.4,2.0,1.0,-0.4,2.0,0.0001026262566671664
0.55,0.0,0.6,0.1,0.0,2.0,3.2081004763711106e-07
0.55,0.0,1.2999999999999998,0.1,0.0,2.0,3.2081004763711106e-07
0.55,0.0,2.0,0.1,0.0,2.0,3.2081004763711106e-07
0.55,0.4,0.6,0.55,0.4,0.6,0.014315333717487657
0.55,0.4,1.2999999999999998,0.55,0.4,1.2999999999999998,0.0012610593265861727
0.55,0.4,2.0,0.1,0.4,1.2999999999999998,0.00021254020055778945
1.0,-0.4,0.6,0.55,-0.4,0.6,0.013116012431064153
1.0,-0.4,1.2999999999999998,0.55,-0.4,1.2999999999999998,0.0008151392473523791
1.0,-0.4,2.0,1.0,-0.4,2.0,0.0001026262566671664
1.0,0.0,0.6,0.1,0.0,2.0,3.2081004763711106e-07
1.0,0.0,1.2999999999999998,0.1,0.0,2.0,3.2081004763711106e-07
1.0,0.0,2.0,0.1,0.0,2.0,3.2081004763711106e-07
1.0,0.4,0.6,0.55,0.4,0.6,0.014315333717487657
1.0,0.4,1.2999999999999998,0.55,0.4,1.2999999999999998,0.0012610593265861727
1.0,0.4,2.0,0.1,0.4,1.2999999999999998,0.00021254020055778945
