source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.1,-0.4,0.6,1.0,-0.4,0.6,0.009797670648567347
0.1,-0.4,1.2999999999999998,0.55,-0.4,2.0,0.0011664722318209125
0.1,-0.4,2.0,0.55,-0.4,2.0,0.01760436316989697
0.1,0.0,0.6,0.1,0.0,2.0,6.965751694402483e-08
0.1,0.0,1.2999999999999998,0.1,0.0,2.0,6.965751694402483e-08
0.1,0.0,2.0,0.1,0.0,2.0,6.965751694402483e-08
0.1,0.4,0.6,0.55,0.4,0.6,0.009797670648567347
0.1,0.4,1.2999999999999998,1.0,0.4,2.0,0.0011664722318209125
0.1,0.4,2.0,1.0,0.4,2.0,0.01760436316989697
0.55,-0.4,0.6,1.0,-0.4,0.6,0.009797670648567347
0.55,-0.4,1.2999999999999998,0.55,-0.4,2.0,0.0011664722318209125
0.55,-0.4,2.0,0.55,-0.4,2.0,0.01760436316989697
0.55,0.0,0.6,0.1,0.0,2.0,6.965751694402483e-08
0.55,0.0,1.2999999999999998,0.1,0.0,2.0,6.965751694402483e-08
0.55,0.0,2.0,0.1,0.0,2.0,6.965751694402483e-08
0.55,0.4,0.6,0.55,0.4,0.6,0.009797670648567347
0.55,0.4,1.2999999999999998,1.0,0.4,2.0,0.0011664722318209125
0.55,0.4,2.0,1.0,0.4,2.0,0.01760436316989697
1.0,-0.4,0.6,1.0,-0.4,0.6,0.009797670648567347
1.0,-0.4,1.2999999999999998,0.55,-0.4,2.0,0.0011664722318209125
1.0,-0.4,2.0,0.55,-0.4,2.0,0.01760436316989697
1.0,0.0,0.6,0.1,0.0,2.0,6.965751694402483e-08
1.0,0.0,1.2999999999999998,0.1,0.0,2.0,6.965751694402483e-08
1.0,0.0,2.0,0.1,0.0,2.0,6.965751694402483e-08
1.0,0.4,0.6,0.55,0.4,0.6,0.009797670648567347
1.0,0.4,1.2999999999999998,1.0,0.4,2.0,0.0011664722318209125
1.0,0.4,2.0,1.0,0.4,2.0,0.01760436316989697
