t,m_full_then_project,m_project_then_coarse,abs_residual
0,-0.3333333333333333,-0.3333333333333333,0.0
1,-0.35052694058811906,-0.16514041292462936,0.1853865276634897
2,-0.3674291670000295,-0.032101296793619644,0.33532787020640986
3,-0.38319766126608074,0.07418243534490188,0.4573800966109826
4,-0.3975072439010796,0.1580108485538254,0.555518092454905
5,-0.41028420664926407,0.22261775360971547,0.6329019602589796
6,-0.421575633368816,0.2711403061255674,0.6927159394943834
7,-0.43148335019563944,0.30671229428289,0.7381956444785294
8,-0.4401299123618542,0.3322629000228991,0.7723928123847533
9,-0.4476411129505191,0.35032162016529195,0.797962733115811
10,-0.4541372756260885,0.3629308938226059,0.8170681694486944
11,-0.4597292921082918,0.37165736577655767,0.8313866578848494
12,-0.46451721979270955,0.37765857062962854,0.8421757904223381
13,-0.4685902307103927,0.38176731102839906,0.8503575417387917
14,-0.47202723604948477,0.38457170720340605,0.8565989432528909
15,-0.47489780927648423,0.38648176712142046,0.8613795763979046
16,-0.47726320099420966,0.38778080517867186,0.8650440061728815
17,-0.4791773360844905,0.38866340643399,0.8678407425184804
18,-0.4806877393114473,0.3892626628236633,0.8699504021351105
19,-0.48183636693118875,0.38966934994930014,0.871505716880489
20,-0.4826603390927936,0.38994526284512687,0.8726056019379205
